"LLAVEVIV","P0_1","P0_2","P0_3","P0_4_1","P0_4_1A","P0_4_2","P0_4_2A","P1_1","P1_2","P1_3","FOLIO","VIV_SEL","ENT","TLOC","REGION","EST_DIS","UPM_DIS","FAC_VIV"
"0688601","06","10","02","1","1","1","1","07","1","","06886","01","17","3","5","094","01145",3653
"0688702","02","04","01","1","1","1","1","02","1","","06887","02","32","3","3","185","02138",1543
"0688801","03","05","01","2","","1","1","04","1","","06888","01","05","1","2","029","00313",1581
"0688901","02","03","01","1","1","1","1","05","1","","06889","01","11","4","3","057","00835",5223
"0689002","02","03","01","1","1","1","1","01","1","","06890","02","17","2","5","099","01205",1560
"0689104","03","05","01","1","1","2","","01","1","","06891","04","08","1","1","044","00503",2774
"0689203","01","02","01","2","","1","1","05","1","","06892","03","19","1","2","106","01258",3685
"0689312","01","02","01","1","1","2","","02","1","","06893","12","32","4","3","187","02146",1688
"0689419","02","03","01","2","","2","","03","1","","06894","19","30","4","5","174","02046",5443
"0689502","02","03","01","2","","1","1","04","1","","06895","02","03","1","1","018","00219",172
"0689603","01","02","01","1","1","2","","02","1","","06896","03","21","1","5","119","01418",3737
"0689705","02","03","01","1","1","1","1","03","1","","06897","05","14","1","3","080","01007",6826
"0689801","02","03","01","2","","1","1","02","1","","06898","01","23","1","6","132","01529",2051
"0689909","03","04","01","2","","2","","07","1","","06899","09","25","4","1","143","01680",2209
"0690004","02","02","01","2","","1","1","04","1","","06900","04","15","1","5","086","01082",9451
"0690102","01","01","01","2","","2","","02","1","","06901","02","18","2","3","100","01209",1651
"0690204","02","04","03","2","","1","1","03","1","","06902","04","09","1","4","050","00756",1305
"0690305","01","05","02","1","1","1","1","02","1","","06903","05","09","1","4","050","00740",2798
"0690407","03","05","03","2","","1","1","05","2","02","06904","07","27","4","6","155","01822",916
"0690505","02","04","01","2","","1","1","05","1","","06905","05","17","3","5","094","01145",3653
"0690604","05","08","04","1","1","1","1","09","2","02","06906","04","24","1","2","139","01645",1196
"0690701","02","03","00","2","","2","","03","1","","06907","01","06","1","3","034","00405",769
"0690804","01","02","01","1","1","1","1","02","1","","06908","04","13","4","5","073","00952",2375
"0690905","02","03","01","1","1","1","1","04","1","","06909","05","25","1","1","145","01709",2581
"0691019","03","05","01","1","1","2","","01","1","","06910","19","08","4","1","043","00482",3070
"0691101","03","05","00","2","","2","","05","1","","06911","01","20","4","6","111","01383",3212
"0691216","02","03","00","2","","1","2","03","1","","06912","16","11","4","3","057","00837",4691
"0691303","01","03","01","2","","1","1","01","1","","06913","03","09","1","4","049","00673",1454
"0691408","03","04","01","2","","1","1","04","1","","06914","08","10","3","1","051","00766",1365
